visitor,visitor_score,home,home_score
Atlanta Hawks,99,Orlando Magic,100
Los Angeles Clippers,106,Milwaukee Bucks,111
Memphis Grizzlies,120,Philadelphia 76ers,115
Denver Nuggets,96,Houston Rockets,108
Detroit Pistons,95,Sacramento Kings,90
Chicago Bulls,93,Miami Heat,75
Golden State Warriors,128,New Orleans Pelicans,122
Utah Jazz,84,Washington Wizards,93
Los Angeles Lakers,100,Minnesota Timberwolves,94
Phoenix Suns,88,Oklahoma City Thunder,112
Toronto Raptors,95,New York Knicks,90
San Antonio Spurs,99,Denver Nuggets,91
Charlotte Hornets,88,Cleveland Cavaliers,97
Los Angeles Lakers,91,Indiana Pacers,110
Boston Celtics,105,Philadelphia 76ers,87
Chicago Bulls,86,Atlanta Hawks,93
Orlando Magic,82,Toronto Raptors,95
Milwaukee Bucks,96,Phoenix Suns,94
San Antonio Spurs,95,Portland Trail Blazers,108
Detroit Pistons,91,Los Angeles Clippers,113
Minnesota Timberwolves,95,Washington Wizards,109
Miami Heat,95,Brooklyn Nets,91
Golden State Warriors,98,Memphis Grizzlies,105
Utah Jazz,111,New Orleans Pelicans,119
Dallas Mavericks,107,New York Knicks,87
Oklahoma City Thunder,104,Sacramento Kings,92
Phoenix Suns,111,Charlotte Hornets,106
Atlanta Hawks,127,Cleveland Cavaliers,98
Orlando Magic,92,Boston Celtics,109
Dallas Mavericks,117,Detroit Pistons,106
Utah Jazz,105,Miami Heat,87
Brooklyn Nets,89,Toronto Raptors,105
Memphis Grizzlies,117,San Antonio Spurs,116
Milwaukee Bucks,97,Portland Trail Blazers,104
Houston Rockets,115,Denver Nuggets,111
Indiana Pacers,100,Los Angeles Clippers,102
New York Knicks,97,Chicago Bulls,103
New Orleans Pelicans,99,Houston Rockets,90
Milwaukee Bucks,108,Sacramento Kings,107
Oklahoma City Thunder,109,Golden State Warriors,114
Utah Jazz,101,Orlando Magic,94
Charlotte Hornets,109,Philadelphia 76ers,91
Minnesota Timberwolves,98,Boston Celtics,114
Brooklyn Nets,91,Cleveland Cavaliers,95
Toronto Raptors,110,Detroit Pistons,100
Washington Wizards,105,Miami Heat,103
Chicago Bulls,103,Memphis Grizzlies,97
Portland Trail Blazers,129,San Antonio Spurs,119
Los Angeles Clippers,106,Denver Nuggets,109
Oklahoma City Thunder,104,Los Angeles Lakers,103
Phoenix Suns,99,New York Knicks,90
Utah Jazz,86,Charlotte Hornets,104
Portland Trail Blazers,114,New Orleans Pelicans,88
Atlanta Hawks,104,Houston Rockets,97
San Antonio Spurs,93,Dallas Mavericks,99
Indiana Pacers,73,Denver Nuggets,76
Milwaukee Bucks,102,Los Angeles Clippers,106
New York Knicks,108,Toronto Raptors,118
Memphis Grizzlies,91,Cleveland Cavaliers,105
Detroit Pistons,105,Brooklyn Nets,110
Boston Celtics,84,Miami Heat,100
Philadelphia 76ers,96,Orlando Magic,88
Los Angeles Lakers,101,Sacramento Kings,108
Phoenix Suns,104,Washington Wizards,92
Indiana Pacers,100,Minnesota Timberwolves,96
New Orleans Pelicans,101,Oklahoma City Thunder,99
Denver Nuggets,82,Charlotte Hornets,110
Toronto Raptors,120,Chicago Bulls,129
Portland Trail Blazers,95,Houston Rockets,110
Utah Jazz,97,Memphis Grizzlies,91
Atlanta Hawks,105,Dallas Mavericks,102
Los Angeles Clippers,118,San Antonio Spurs,125
Sacramento Kings,108,Golden State Warriors,128
Minnesota Timberwolves,104,Cleveland Cavaliers,125
New Orleans Pelicans,84,Indiana Pacers,96
Boston Celtics,95,Orlando Magic,100
Chicago Bulls,99,Washington Wizards,91
Los Angeles Clippers,104,Atlanta Hawks,107
Denver Nuggets,96,Brooklyn Nets,102
Philadelphia 76ers,91,Miami Heat,87
Charlotte Hornets,108,Milwaukee Bucks,101
Portland Trail Blazers,115,Oklahoma City Thunder,111
Dallas Mavericks,115,Phoenix Suns,124
Golden State Warriors,105,Los Angeles Lakers,115
Washington Wizards,102,New York Knicks,91
Oklahoma City Thunder,114,San Antonio Spurs,106
Cleveland Cavaliers,91,Miami Heat,101
Los Angeles Lakers,93,Chicago Bulls,113
Golden State Warriors,86,Los Angeles Clippers,100
Brooklyn Nets,109,Boston Celtics,107
Cleveland Cavaliers,98,Orlando Magic,89
Milwaukee Bucks,107,Atlanta Hawks,77
Indiana Pacers,109,Detroit Pistons,119
Houston Rockets,117,Memphis Grizzlies,111
San Antonio Spurs,90,New Orleans Pelicans,97
Charlotte Hornets,75,Oklahoma City Thunder,98
Los Angeles Lakers,98,Dallas Mavericks,102
Minnesota Timberwolves,102,Denver Nuggets,106
Philadelphia 76ers,93,Portland Trail Blazers,114
Phoenix Suns,115,Sacramento Kings,106
Toronto Raptors,110,Los Angeles Clippers,98
Orlando Magic,102,Charlotte Hornets,94
Boston Celtics,88,Washington Wizards,101
Memphis Grizzlies,103,Miami Heat,95
Indiana Pacers,110,Brooklyn Nets,85
New Orleans Pelicans,100,Chicago Bulls,107
Atlanta Hawks,90,Milwaukee Bucks,85
Philadelphia 76ers,71,Utah Jazz,88
New York Knicks,129,Sacramento Kings,135
Minnesota Timberwolves,97,Golden State Warriors,110
Detroit Pistons,103,Cleveland Cavaliers,80
Houston Rockets,106,San Antonio Spurs,110
Oklahoma City Thunder,107,Dallas Mavericks,112
Toronto Raptors,116,Denver Nuggets,102
New York Knicks,79,Portland Trail Blazers,101
Phoenix Suns,116,Los Angeles Lakers,107
Milwaukee Bucks,104,Charlotte Hornets,94
Chicago Bulls,92,Indiana Pacers,90
Sacramento Kings,99,Brooklyn Nets,107
Orlando Magic,102,Miami Heat,101
Washington Wizards,104,Houston Rockets,103
Utah Jazz,97,Los Angeles Clippers,101
Detroit Pistons,109,Orlando Magic,86
Cleveland Cavaliers,101,Atlanta Hawks,109
Brooklyn Nets,96,Chicago Bulls,82
San Antonio Spurs,87,Memphis Grizzlies,95
Phoenix Suns,106,New Orleans Pelicans,110
Washington Wizards,87,Dallas Mavericks,114
Los Angeles Lakers,111,Denver Nuggets,103
Minnesota Timberwolves,94,Utah Jazz,100
Toronto Raptors,97,Portland Trail Blazers,102
Philadelphia 76ers,86,Golden State Warriors,126
Sacramento Kings,84,Boston Celtics,106
Miami Heat,95,Indiana Pacers,106
New York Knicks,78,Los Angeles Clippers,99
Milwaukee Bucks,96,Cleveland Cavaliers,80
Charlotte Hornets,83,Houston Rockets,102
New Orleans Pelicans,93,San Antonio Spurs,95
Phoenix Suns,134,Oklahoma City Thunder,137
Denver Nuggets,101,Chicago Bulls,106
Sacramento Kings,110,Minnesota Timberwolves,107
Cleveland Cavaliers,91,Charlotte Hornets,87
Brooklyn Nets,100,Orlando Magic,98
Dallas Mavericks,119,Boston Celtics,101
Detroit Pistons,97,New York Knicks,81
Houston Rockets,83,New Orleans Pelicans,111
Washington Wizards,102,Oklahoma City Thunder,109
Indiana Pacers,94,Milwaukee Bucks,91
Philadelphia 76ers,96,Phoenix Suns,112
Atlanta Hawks,98,Utah Jazz,92
Toronto Raptors,105,Golden State Warriors,126
Memphis Grizzlies,109,Los Angeles Lakers,106
Charlotte Hornets,98,Orlando Magic,90
Boston Celtics,104,Chicago Bulls,109
Miami Heat,79,Houston Rockets,115
Utah Jazz,101,Minnesota Timberwolves,89
Washington Wizards,92,San Antonio Spurs,101
Memphis Grizzlies,85,Denver Nuggets,114
Atlanta Hawks,115,Portland Trail Blazers,107
Philadelphia 76ers,91,Los Angeles Clippers,127
Dallas Mavericks,109,Cleveland Cavaliers,90
Sacramento Kings,95,Detroit Pistons,114
Brooklyn Nets,84,Miami Heat,88
Milwaukee Bucks,95,New York Knicks,82
Toronto Raptors,109,Phoenix Suns,125
Indiana Pacers,87,Los Angeles Lakers,88
Cleveland Cavaliers,92,Philadelphia 76ers,95
Charlotte Hornets,104,Boston Celtics,95
Dallas Mavericks,96,Brooklyn Nets,88
Houston Rockets,105,Chicago Bulls,114
New York Knicks,83,Memphis Grizzlies,105
Denver Nuggets,110,Minnesota Timberwolves,101
Washington Wizards,92,New Orleans Pelicans,85
Indiana Pacers,105,Utah Jazz,101
Los Angeles Lakers,94,Portland Trail Blazers,98
Oklahoma City Thunder,91,Golden State Warriors,117
Atlanta Hawks,107,Los Angeles Clippers,98
Phoenix Suns,102,Milwaukee Bucks,96
Detroit Pistons,105,San Antonio Spurs,104
New Orleans Pelicans,94,Charlotte Hornets,98
Houston Rockets,105,Cleveland Cavaliers,93
Milwaukee Bucks,97,Philadelphia 76ers,77
New York Knicks,91,Washington Wizards,101
Memphis Grizzlies,86,Atlanta Hawks,96
Boston Celtics,89,Brooklyn Nets,81
Utah Jazz,97,Chicago Bulls,77
Detroit Pistons,108,Dallas Mavericks,95
Orlando Magic,90,Denver Nuggets,93
Phoenix Suns,113,Minnesota Timberwolves,111
Oklahoma City Thunder,83,Sacramento Kings,104
Indiana Pacers,102,Golden State Warriors,117
Los Angeles Lakers,89,Los Angeles Clippers,114
Charlotte Hornets,103,Toronto Raptors,95
Houston Rockets,120,New York Knicks,96
Miami Heat,83,Portland Trail Blazers,99
Boston Celtics,103,Indiana Pacers,107
Philadelphia 76ers,90,Brooklyn Nets,88
Atlanta Hawks,106,Detroit Pistons,103
Memphis Grizzlies,95,New Orleans Pelicans,106
Utah Jazz,94,Oklahoma City Thunder,99
Chicago Bulls,86,Washington Wizards,102
Minnesota Timberwolves,84,Milwaukee Bucks,98
Phoenix Suns,95,San Antonio Spurs,100
Denver Nuggets,118,Sacramento Kings,108
Cleveland Cavaliers,94,Golden State Warriors,112
Orlando Magic,84,Los Angeles Lakers,101
Charlotte Hornets,110,New York Knicks,82
Dallas Mavericks,100,Los Angeles Clippers,120
Brooklyn Nets,93,Detroit Pistons,98
Indiana Pacers,92,Philadelphia 76ers,93
Boston Celtics,96,Toronto Raptors,109
Milwaukee Bucks,87,Chicago Bulls,95
Utah Jazz,82,Houston Rockets,97
San Antonio Spurs,108,Minnesota Timberwolves,93
Orlando Magic,92,Portland Trail Blazers,103
Washington Wizards,89,Atlanta Hawks,120
Miami Heat,104,Los Angeles Clippers,90
Phoenix Suns,110,Memphis Grizzlies,122
Cleveland Cavaliers,84,Sacramento Kings,103
Portland Trail Blazers,106,Los Angeles Lakers,94
New Orleans Pelicans,100,Boston Celtics,108
Houston Rockets,113,Brooklyn Nets,99
Detroit Pistons,114,Toronto Raptors,111
Orlando Magic,121,Chicago Bulls,114
Minnesota Timberwolves,110,Indiana Pacers,101
Atlanta Hawks,105,Philadelphia 76ers,87
San Antonio Spurs,93,Washington Wizards,101
Cleveland Cavaliers,100,Phoenix Suns,107
Golden State Warriors,116,Utah Jazz,105
Dallas Mavericks,108,Sacramento Kings,104
Miami Heat,78,Los Angeles Lakers,75
San Antonio Spurs,98,Charlotte Hornets,93
Houston Rockets,113,Orlando Magic,120
Memphis Grizzlies,103,Brooklyn Nets,92
New Orleans Pelicans,105,Detroit Pistons,94
Philadelphia 76ers,84,Toronto Raptors,100
Atlanta Hawks,105,Boston Celtics,91
Washington Wizards,105,Chicago Bulls,99
Dallas Mavericks,107,Denver Nuggets,114
Miami Heat,89,Golden State Warriors,104
Los Angeles Clippers,100,Portland Trail Blazers,94
New York Knicks,79,Milwaukee Bucks,95
Oklahoma City Thunder,101,Houston Rockets,112
Cleveland Cavaliers,109,Los Angeles Lakers,102
Detroit Pistons,98,Indiana Pacers,96
Memphis Grizzlies,106,Orlando Magic,96
New Orleans Pelicans,81,Philadelphia 76ers,96
Brooklyn Nets,102,Washington Wizards,80
Chicago Bulls,119,Boston Celtics,103
Atlanta Hawks,110,Toronto Raptors,89
Golden State Warriors,115,Oklahoma City Thunder,127
Denver Nuggets,89,Dallas Mavericks,97
Portland Trail Blazers,96,San Antonio Spurs,110
Minnesota Timberwolves,99,Phoenix Suns,110
Los Angeles Lakers,85,Utah Jazz,94
Miami Heat,95,Sacramento Kings,83
Cleveland Cavaliers,126,Los Angeles Clippers,121
Indiana Pacers,71,Charlotte Hornets,80
