visitor,visitor_score,home,home_score
Oklahoma City Thunder,125,Memphis Grizzlies,88
Orlando Magic,85,Denver Nuggets,74
Utah Jazz,106,Sacramento Kings,114
Chicago Bulls,100,Boston Celtics,105
Miami Heat,81,Charlotte Hornets,99
Houston Rockets,109,Washington Wizards,103
Memphis Grizzlies,93,Detroit Pistons,92
San Antonio Spurs,94,Toronto Raptors,97
Los Angeles Clippers,109,Milwaukee Bucks,95
Los Angeles Lakers,122,Minnesota Timberwolves,123
Orlando Magic,104,Phoenix Suns,107
New York Knicks,85,Utah Jazz,106
Atlanta Hawks,98,Dallas Mavericks,95
Philadelphia 76ers,91,Brooklyn Nets,100
Los Angeles Clippers,80,Chicago Bulls,83
Atlanta Hawks,94,Oklahoma City Thunder,107
New York Knicks,97,Sacramento Kings,99
Miami Heat,83,Indiana Pacers,96
Cleveland Cavaliers,111,Orlando Magic,76
Detroit Pistons,107,Philadelphia 76ers,95
Golden State Warriors,124,Boston Celtics,119
Milwaukee Bucks,83,Toronto Raptors,90
Charlotte Hornets,123,Memphis Grizzlies,99
Washington Wizards,105,New Orleans Pelicans,107
Minnesota Timberwolves,108,Denver Nuggets,111
Oklahoma City Thunder,94,Utah Jazz,90
Portland Trail Blazers,106,Phoenix Suns,96
Los Angeles Lakers,87,San Antonio Spurs,109
Los Angeles Clippers,105,Brooklyn Nets,100
Boston Celtics,98,Charlotte Hornets,93
Indiana Pacers,96,Detroit Pistons,118
San Antonio Spurs,103,Atlanta Hawks,78
New Orleans Pelicans,94,Chicago Bulls,98
Los Angeles Lakers,97,Houston Rockets,126
Washington Wizards,114,Dallas Mavericks,111
Golden State Warriors,95,Milwaukee Bucks,108
New York Knicks,112,Portland Trail Blazers,110
Minnesota Timberwolves,101,Phoenix Suns,108
Memphis Grizzlies,97,Miami Heat,100
Philadelphia 76ers,76,Toronto Raptors,96
Utah Jazz,98,Oklahoma City Thunder,104
Toronto Raptors,90,Indiana Pacers,106
Orlando Magic,105,Brooklyn Nets,82
Los Angeles Clippers,105,Detroit Pistons,103
Miami Heat,100,Atlanta Hawks,88
Philadelphia 76ers,96,Chicago Bulls,115
Washington Wizards,95,Memphis Grizzlies,112
Phoenix Suns,94,Dallas Mavericks,104
