points_scored,ppg,opponent_ppg,win_perc,opponnent_win_perc,last_10_win_perc,opponent_last_10_win_perc
86,93.875,101.11111111111111,0.25,0.4444444444444444,0.25,0.4444444444444444
97,94.0,93.86666666666666,0.4444444444444444,0.25,0.4444444444444444,0.25
114,96.3,105.5625,0.3,0.375,0.3,0.375
99,100.5,114.85185185185183,0.375,0.3,0.375,0.3
98,97.0,99.26666666666668,0.3333333333333333,0.8,0.3333333333333333,0.8
108,104.6,103.80000000000001,0.8,0.3333333333333333,0.8,0.3333333333333333
86,95.0,94.72222222222223,0.625,0.5,0.625,0.5
81,89.2,101.0,0.5,0.625,0.5,0.625
115,103.0,95.77777777777777,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4444444444444444
113,103.44444444444444,101.46666666666667,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666
97,106.6,111.72727272727273,0.6,0.45454545454545453,0.6,0.4
94,104.54545454545455,106.71428571428571,0.45454545454545453,0.6,0.4,0.6
87,88.72727272727273,99.57142857142857,0.09090909090909091,0.7,0.1,0.7
98,104.9,99.53246753246754,0.7,0.09090909090909091,0.7,0.1
102,110.0,99.6,0.7,0.5,0.7,0.5
106,94.3,105.42857142857143,0.5,0.7,0.5,0.7
104,100.0,105.46875,0.2222222222222222,0.6363636363636364,0.2222222222222222,0.6
100,108.45454545454545,105.21875,0.6363636363636364,0.2222222222222222,0.6,0.2222222222222222
92,100.33333333333333,85.17142857142858,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
86,94.33333333333333,106.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
104,106.0,105.94285714285714,0.6666666666666666,0.6,0.6666666666666666,0.6
88,104.7,101.77777777777777,0.6,0.6666666666666666,0.6,0.6666666666666666
109,108.81818181818181,95.2207792207792,0.6363636363636364,0.36363636363636365,0.6,0.4
85,94.18181818181819,102.42,0.36363636363636365,0.6363636363636364,0.4,0.6
107,93.0,95.60000000000001,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.5555555555555556
104,98.77777777777777,93.86666666666666,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222
95,88.45454545454545,103.80000000000001,0.45454545454545453,0.3,0.5,0.3
91,97.1,93.92929292929293,0.3,0.45454545454545453,0.3,0.5
91,92.54545454545455,105.21875,0.36363636363636365,0.3,0.3,0.3
